function, genetic, random
gsl_sf_airy_Ai , 9.93211e10 , 1.98908e0
gsl_sf_airy_Ai_deriv , 5.84163e19 , 1.41805e19
gsl_sf_airy_Ai_deriv_scaled , 5.84163e19 , 1.41805e19
gsl_sf_airy_Ai_scaled , 9.93211e10 , 1.98908e0
gsl_sf_airy_Bi , 3.84411e4 , 1.27328e0
gsl_sf_airy_Bi_deriv , 1.39294e20 , 1.13545e-2
gsl_sf_airy_Bi_deriv_scaled , 1.39294e20 , 1.13545e-2
gsl_sf_airy_Bi_scaled , 3.84411e4 , 1.27328e0
gsl_sf_angle_restrict_pos , 3.15367e-2 , 1.73594e-3
gsl_sf_angle_restrict_symm , 7.62754e-2 , 1.73594e-3
gsl_sf_atanint , 1.79406e-16 , 1.54917e-16
gsl_sf_bessel_I0 , 1.89491e-6 , 9.52213e-17
gsl_sf_bessel_i0_scaled , 1e0 , 1e0
gsl_sf_bessel_I0_scaled , 1.88986e-6 , 8.35846e-7
gsl_sf_bessel_I1 , 1.83128e-6 , 1.16476e-16
gsl_sf_bessel_i1_scaled , 1e0 , 1e0
gsl_sf_bessel_I1_scaled , 1.89826e-6 , 8.35846e-7
gsl_sf_bessel_i2_scaled , 1e0 , 1e0
gsl_sf_bessel_il_scaled # , 1.34181e295 , 2.70652e-6
gsl_sf_bessel_In # , ,
gsl_sf_bessel_In_scaled # , 1.90734e-6 , 1.80845e-6
gsl_sf_bessel_Inu , 3.53004e-6 , 1.55207e-6
gsl_sf_bessel_Inu_scaled , 4.91194e-6 , 3.01486e-6
gsl_sf_bessel_j0 , 2.84716e11 , 2.89248e3
gsl_sf_bessel_J0 , 4.32844e-16 , 2.55897e-16
gsl_sf_bessel_j1 , 1.87305e15 , 4.12303e4
gsl_sf_bessel_J1 , 3.80997e-16 , 3.35183e-16
gsl_sf_bessel_j2 , 2.84716e11 , 2.89248e3
gsl_sf_bessel_jl # , 3.90227e21 , 1.16529e-16
gsl_sf_bessel_Jn # , 2.65349e21 , 3.02121e-6
gsl_sf_bessel_Jnu , 1.53217e5 , 3.01486e-6
gsl_sf_bessel_K0 , 4.38378e-16 , 2.87007e-16
gsl_sf_bessel_k0_scaled , 1.05151e-16 , 1.06572e-16
gsl_sf_bessel_K0_scaled , 1.89826e-6 , 1.66363e-8
gsl_sf_bessel_K1 , 2.36793e-16 , 1.02447e-16
gsl_sf_bessel_k1_scaled , 2.61159e-16 , 1.86619e-16
gsl_sf_bessel_K1_scaled , 1.89826e-6 , 1.66363e-8
gsl_sf_bessel_k2_scaled , 3.03709e-16 , 1.42421e-16
gsl_sf_bessel_kl_scaled # , 1.84769e-6 , 1.02278e-16
gsl_sf_bessel_Kn # , ,
gsl_sf_bessel_Kn_scaled # , ,
gsl_sf_bessel_Knu_ , 5.90523e-3 , 2.62944e-7
gsl_sf_bessel_Knu , 5.90523e-3 , 2.62944e-7
gsl_sf_bessel_Knu_scaled_ , 1.23912e-2 , 1.26284e-6
gsl_sf_bessel_Knu_scaled , 1.23912e-2 , 1.26284e-6
gsl_sf_bessel_lnKnu_ , 3.48301e-16 , 1.63591e-16
gsl_sf_bessel_lnKnu , 3.48301e-16 , 1.63591e-16
gsl_sf_bessel_y0_ , 1.03685e-16 , 9.88778e-17
gsl_sf_bessel_y0 , 1.03685e-16 , 9.88778e-17
gsl_sf_bessel_Y0_ , 5.6174e-16 , 2.46484e-16
gsl_sf_bessel_Y0 , 5.6174e-16 , 2.46484e-16
gsl_sf_bessel_y1_ , 1.51781e-16 , 1.24595e-16
gsl_sf_bessel_y1 , 1.51781e-16 , 1.24595e-16
gsl_sf_bessel_Y1_ , 2.57776e-16 , 1.47309e-16
gsl_sf_bessel_Y1 , 2.57776e-16 , 1.47309e-16
gsl_sf_bessel_y2_ , 1.87305e15 , 4.13498e0
gsl_sf_bessel_y2 , 1.87305e15 , 4.13498e0
gsl_sf_bessel_yl # , 2.10037e-1 , 1.27773e-4
gsl_sf_bessel_Yn # , 4.74004e-1 , 8.94524e-5
gsl_sf_bessel_Ynu_ , 1e0 , 6.78915e-1
gsl_sf_bessel_Ynu , 1e0 , 6.78915e-1
gsl_sf_beta , 1.90432e-6 , 1.88103e-6
gsl_sf_beta_inc , 2.73447e-6 , 1.87097e-6
gsl_sf_Chi , 1.80655e-6 , 7.03482e-17
gsl_sf_Ci , 2.84716e11 , 2.41118e0
gsl_sf_clausen , 2.96404e-1 , 1.9709e-3
gsl_sf_conicalP_0 , 4.8829e0 , 5.79954e-6
gsl_sf_conicalP_1 , 1.08507e0 , 1.39252e-4
gsl_sf_conicalP_cyl_reg # , 1e0 , 0e-65536
gsl_sf_conicalP_half , 5.63509e4 , 2.74216e2
gsl_sf_conicalP_mhalf , 1.53771e7 , 1.97314e0
gsl_sf_conicalP_sph_reg # , 1e0 , 0e-65536
gsl_sf_cos , 1.87305e15 , 4.12303e4
gsl_sf_coupling_3j # , 0e-65536 , 0e-65536
gsl_sf_coupling_6j # , 0e-65536 , 0e-65536
gsl_sf_coupling_9j # , 0e-65536 ,
gsl_sf_dawson , 1.85138e-16 , 1.05437e-16
gsl_sf_debye_1 , 4.33972e-8 , 1.03839e-16
gsl_sf_debye_2 , 1.98215e-7 , 1.39027e-16
gsl_sf_debye_3 , 5.54024e-7 , 1.96994e-16
gsl_sf_debye_4 , 2.68992e-6 , 1.99258e-16
gsl_sf_debye_5 , 2.62589e-6 , 1.6111e-16
gsl_sf_debye_6 , 6.65879e-6 , 2.57369e-16
gsl_sf_dilog , 6.86799e-16 , 4.19032e-16
gsl_sf_ellint_D , 1e0 , 1e0
gsl_sf_ellint_Dcomp , 3.59662e-16 , 3.77592e-16
gsl_sf_ellint_E , 1.02981e-2 , 1.37128e-3
gsl_sf_ellint_Ecomp , 2.09536e-16 , 2.02364e-17
gsl_sf_ellint_F , 1.02981e-2 , 1.37128e-3
gsl_sf_ellint_Kcomp , 1.72179e-16 , 2.56751e-17
gsl_sf_ellint_P , 4.58333e17 , 4.80567e0
gsl_sf_ellint_Pcomp , 1.00992e2 , 1.04193e0
gsl_sf_ellint_RC , 2.01768e-16 , 1.93947e-16
gsl_sf_ellint_RD , 4.37926e-16 , 2.48063e-16
gsl_sf_ellint_RF , 2.48274e-16 , 2.01459e-16
gsl_sf_ellint_RJ , 5.34332e-16 , 0e-65536
gsl_sf_erf , 1.44638e-7 , 1.04936e-15
gsl_sf_erfc_ , 1.80906e-6 , 1.47488e-16
gsl_sf_erfc , 1.80906e-6 , 1.47488e-16
gsl_sf_erf_Q , 1.90577e-6 , 1.0679e-16
gsl_sf_erf_Z , 1.90577e-6 , 9.75221e-7
gsl_sf_eta , 3.51183e13 , 1.84743e-6
gsl_sf_eta_int # , 0e-65536 , 0e-65536
gsl_sf_exp , 1.88356e-6 , 8.35846e-7
gsl_sf_expint_3 , 2.35521e-16 , 0e-65536
gsl_sf_expint_E1 , 1.89491e-6 , 1.40696e-16
gsl_sf_expint_E1_scaled , 1.88326e-6 , 8.35846e-7
gsl_sf_expint_E2 , 7.68862e-5 , 8.34482e-7
gsl_sf_expint_E2_scaled , 8.80268e0 , 2.90134e0
gsl_sf_expint_Ei , 0e-65536 , 0e-65536
gsl_sf_expint_Ei_scaled , 0e-65536 , 0e-65536
gsl_sf_expint_En # , 3.6745e-6 , 0e-65536
gsl_sf_expint_En_scaled # , 3.94387e-6 , 0e-65536
gsl_sf_expm1 , 9.10541e-4 , 8.03758e-17
gsl_sf_exp_mult , 3.72359e-6 , 2.78771e-6
gsl_sf_exprel_2 , 8.75548e-1 , 1.09503e-16
gsl_sf_exprel , 9.10541e-4 , 1.05437e-16
gsl_sf_exprel_n # , 5.46137e-4 , 2.37239e-16
gsl_sf_fermi_dirac_0 , 1.89928e-6 , 4.79333e-17
gsl_sf_fermi_dirac_1 , 1.88245e-6 , 6.77467e-17
gsl_sf_fermi_dirac_2 , 1.88245e-6 , 2.08288e-16
gsl_sf_fermi_dirac_3half , 1.90476e-6 , 1.8115e-6
gsl_sf_fermi_dirac_half , 1.88815e-6 , 1.89316e-6
gsl_sf_fermi_dirac_inc_0 , 1e0 , 1.12038e-16
gsl_sf_fermi_dirac_int # , 1.26074e13 , 6.67462e-7
gsl_sf_fermi_dirac_m1 , 1.16884e-6 , 4.17966e-7
gsl_sf_fermi_dirac_mhalf , 1.9042e-6 , 1.90456e-6
gsl_sf_gamma , 1.22878e-2 , 2.21388e-16
gsl_sf_gamma_inc , 1.28497e13 , 2.47673e-7
gsl_sf_gamma_inc_P , 1.88351e-6 , 6.22354e-7
gsl_sf_gamma_inc_Q , 1.30049e13 , 4.12445e-17
gsl_sf_gammainv , 3.19345e-6 , 3.17382e-6
gsl_sf_gammastar , 1.8898e-6 , 1.87464e-6
gsl_sf_gegenpoly_1 , 1e0 , 1e0
gsl_sf_gegenpoly_2 , 6.11678e-16 , 2.40601e-16
gsl_sf_gegenpoly_3 , 1e0 , 1e0
gsl_sf_gegenpoly_n # , 1e0 , 3.59321e-16
gsl_sf_hazard , 1.89947e-6 , 5.91782e-7
gsl_sf_hydrogenicR_1 , 0e-65536 , 0e-65536
gsl_sf_hydrogenicR # , ,
gsl_sf_hyperg_0F1 , 2.16923e-2 , 5.79688e6
gsl_sf_hyperg_1F1 , 2.39437e-6 , 9.01896e-1
gsl_sf_hyperg_1F1_int # , 1e0 , 1.75538e-6
gsl_sf_hyperg_2F0 , 1.88888e-6 , 1.53796e-6
gsl_sf_hyperg_2F1 , 2.26414e0 , 1.55615e-19
gsl_sf_hyperg_2F1_conj , 8.68067e13 , 2.48922e-16
gsl_sf_hyperg_2F1_conj_renorm , 1.72726e13 , 1.66316e-6
gsl_sf_hyperg_2F1_renorm , 3.61008e0 , 3.08349e-6
gsl_sf_hyperg_U , 4.28986e-6 , 2.63252e-6
gsl_sf_hyperg_U_int # , ,
gsl_sf_hypot , 8.9974e-17 , 7.88871e-17
gsl_sf_hzeta , 0e-65536 , 0e-65536
gsl_sf_laguerre_1 , 1.17089e-16 , 8.37965e-17
gsl_sf_laguerre_2 , 2.49872e-16 , 1.93293e-16
gsl_sf_laguerre_3 , 2.81424e-15 , 1.75767e-16
gsl_sf_laguerre_n # , 1.89945e-6 , 1.56158e-6
gsl_sf_lambert_W0 , 1e0 , 1e0
gsl_sf_lambert_Wm1 , 1e0 , 1e0
gsl_sf_legendre_H3d_0 , 6.12307e3 , 6.81408e0
gsl_sf_legendre_H3d_1 , 4.90846e2 , 1e0
gsl_sf_legendre_H3d # , 1e0 , 8.28099e-7
gsl_sf_legendre_P1 , 0e-65536 , 0e-65536
gsl_sf_legendre_P2 , 2.50523e-16 , 1.62996e-16
gsl_sf_legendre_P3 , 5.90579e-16 , 2.7871e-15
gsl_sf_legendre_Pl # , 9.86635e-11 , 7.91953e-16
gsl_sf_legendre_Plm # , 3.61783e-14 , 0e-65536
gsl_sf_legendre_Q0 , 1.76128e-16 , 9.95607e-17
gsl_sf_legendre_Q1 , 1.93677e-15 , 1.81475e-16
gsl_sf_legendre_Ql # , 1e0 , 2.87039e-16
gsl_sf_legendre_sphPlm # , 1.89696e-6 , 0e-65536
gsl_sf_lnbeta , 6.56401e-2 , 3.10181e-15
gsl_sf_lncosh , 1e0 , 1e0
gsl_sf_lngamma , 5.51701e-15 , 1.41099e-16
gsl_sf_lnpoch , 1e0 , 1e0
gsl_sf_lnsinh , 1.04825e-16 , 1.03728e-16
gsl_sf_log_1plusx , 2.19623e-16 , 1.05968e-16
gsl_sf_log_1plusx_mx , 1e0 , 1e0
gsl_sf_log_abs , 1.04221e-16 , 1.03728e-16
gsl_sf_log , 1.03872e-16 , 1.03728e-16
gsl_sf_log_erfc , 4.94755e-16 , 1.0197e-15
gsl_sf_multiply , 1.06762e-16 , 1.01931e-16
gsl_sf_poch , 1.89435e-6 , 1.6829e-6
gsl_sf_pochrel , 1.23072e1 , 4.65235e2
gsl_sf_pow_int # , 1e0 , 1e0
gsl_sf_psi_1 , 6.41124e1 , 3.83266e-1
gsl_sf_psi_1_int # , 2.697e-16 , 1.96924e-16
gsl_sf_psi_1piy , 3.98867e-16 , 9.31942e-17
gsl_sf_psi , 9.33784e-16 , 1.7298e-16
gsl_sf_psi_int # , 2.44234e-16 , 1.90769e-16
gsl_sf_psi_n # , 10e-1 , 0e-65536
gsl_sf_Shi , 1.89491e-6 , 1.15488e-16
gsl_sf_Si , 1.94523e-16 , 1.94518e-16
gsl_sf_sin , 2.84716e11 , 2.89248e3
gsl_sf_sinc , 1.72658e5 , 1.75226e1
gsl_sf_synchrotron_1 , 1.90754e-6 , 1.90142e-6
