function, genetic, random
gsl_sf_airy_Ai , 9.93211e10 , 1.98908e0
gsl_sf_airy_Ai_deriv , 1.21854e0 , 1.01935e0
gsl_sf_airy_Ai_deriv_scaled , 1.21854e0 , 1.01935e0
gsl_sf_airy_Ai_scaled , 9.93211e10 , 1.98908e0
gsl_sf_airy_Bi , 3.84411e4 , 1.27328e0
gsl_sf_airy_Bi_deriv , 1.05623e-1 , 1.89848e-2
gsl_sf_airy_Bi_deriv_scaled , 1.05623e-1 , 1.89848e-2
gsl_sf_airy_Bi_scaled , 3.84411e4 , 1.27328e0
gsl_sf_angle_restrict_pos , 3.15367e-2 , 1.73594e-3
gsl_sf_angle_restrict_symm , 7.62754e-2 , 1.73594e-3
gsl_sf_atanint , 1.79406e-16 , 1.54917e-16
gsl_sf_bessel_I0 , 3.50546e-16 , 9.52213e-17
gsl_sf_bessel_i0_scaled , 1e0 , 1e0
gsl_sf_bessel_I0_scaled , 3.13899e-16 , 1.60581e-16
gsl_sf_bessel_I1 , 2.84804e-16 , 1.16476e-16
gsl_sf_bessel_i1_scaled , 1e0 , 1e0
gsl_sf_bessel_I1_scaled , 3.25561e-16 , 1.62098e-16
gsl_sf_bessel_i2_scaled , 1e0 , 1e0
gsl_sf_bessel_il_scaled # , 1.34181e295 , 3.81177e-16
gsl_sf_bessel_In # , ,
gsl_sf_bessel_In_scaled # , 3.80747e-6 , 4.72715e-16
gsl_sf_bessel_Inu , 2.38964e-16 , 4.05045e-15
gsl_sf_bessel_Inu_scaled , 3.71109e-6 , 1.00463e-16
gsl_sf_bessel_j0 , 2.84716e11 , 2.89248e3
gsl_sf_bessel_J0 , 4.55551e-15 , 3.20861e-15
gsl_sf_bessel_j1 , 1.87305e15 , 4.12303e4
gsl_sf_bessel_J1 , 2.32664e-15 , 4.98202e-16
gsl_sf_bessel_j2 , 2.84716e11 , 2.89248e3
gsl_sf_bessel_jl # , 3.45864e21 , 1.43361e-16
gsl_sf_bessel_Jn # , 2.65349e21 , 3.23413e-6
gsl_sf_bessel_Jnu , 2.87247e4 , 7.09016e-17
gsl_sf_bessel_K0 , 7.27888e-16 , 2.87007e-16
gsl_sf_bessel_k0_scaled , 1.05151e-16 , 1.06572e-16
gsl_sf_bessel_K0_scaled , 6.77913e-16 , 2.87007e-16
gsl_sf_bessel_K1 , 3.77223e-16 , 1.02447e-16
